Down,Yards,QB,QB Sacks,QB Years,QB Height,QB Weight,QB Fumbles,QB Rush Att,QB Passer Rating,Receiver ID,Receiver Pos,Receiver Years,Receiver Height,Receiver Weight,Team,Intercepted,Success
4,3,R.Wilson,45,4,71,206,5,103,110.8,904,TE,6,78,250,SEA,1,0
3,14,T.Bridgewater,45,2,74,215,7,44,90.9,835,RB,2,69,205,MIN,0,1
2,7,T.Bridgewater,45,2,74,215,7,44,90.9,841,WR,4,70,191,MIN,0,0
3,2,T.Bridgewater,45,2,74,215,7,44,90.9,1178,WR,0,72,191,MIN,0,1
1,10,R.Wilson,45,4,71,206,5,103,110.8,1443,WR,1,72,218,SEA,0,1
1,10,R.Wilson,45,4,71,206,5,103,110.8,139,WR,0,70,182,SEA,0,0
3,2,R.Wilson,45,4,71,206,5,103,110.8,1181,RB,3,70,221,SEA,0,1
1,10,R.Wilson,45,4,71,206,5,103,110.8,139,WR,0,70,182,SEA,0,1
2,3,R.Wilson,45,4,71,206,5,103,110.8,136,WR,5,70,189,SEA,0,1
1,10,T.Bridgewater,45,2,74,215,7,44,90.9,834,RB,9,73,220,MIN,0,1
2,5,T.Bridgewater,45,2,74,215,7,44,90.9,834,RB,9,73,220,MIN,0,1
1,10,R.Wilson,45,4,71,206,5,103,110.8,139,WR,0,70,182,SEA,0,0
3,7,R.Wilson,45,4,71,206,5,103,110.8,137,WR,4,73,209,SEA,0,1
1,10,R.Wilson,45,4,71,206,5,103,110.8,139,WR,0,70,182,SEA,0,0
3,9,R.Wilson,45,4,71,206,5,103,110.8,139,WR,0,70,182,SEA,0,0
3,18,T.Bridgewater,45,2,74,215,7,44,90.9,836,RB,4,72,219,MIN,0,1
3,1,R.Wilson,45,4,71,206,5,103,110.8,904,TE,6,78,250,SEA,0,0
1,10,T.Bridgewater,45,2,74,215,7,44,90.9,1178,WR,0,72,191,MIN,0,1
1,10,T.Bridgewater,45,2,74,215,7,44,90.9,841,WR,4,70,191,MIN,0,0
3,16,T.Bridgewater,45,2,74,215,7,44,90.9,1178,WR,0,72,191,MIN,0,0
3,5,R.Wilson,45,4,71,206,5,103,110.8,134,RB,9,73,215,SEA,0,0
2,10,T.Bridgewater,45,2,74,215,7,44,90.9,840,TE,5,78,265,MIN,0,0
1,10,T.Bridgewater,45,2,74,215,7,44,90.9,840,TE,5,78,265,MIN,0,1
1,10,A.Rodgers,47,11,74,225,8,58,93.3,82,WR,9,73,208,GB,0,1
3,9,A.Rodgers,47,11,74,225,8,58,93.3,1279,WR,2,73,195,GB,0,0
1,10,K.Cousins,27,4,75,202,8,26,104.6,216,TE,3,74,237,WAS,0,1
3,5,K.Cousins,27,4,75,202,8,26,104.6,216,TE,3,74,237,WAS,0,0
1,10,A.Rodgers,47,11,74,225,8,58,93.3,82,WR,9,73,208,GB,0,0
1,10,K.Cousins,27,4,75,202,8,26,104.6,1350,WR,8,70,178,WAS,0,1
2,7,K.Cousins,27,4,75,202,8,26,104.6,216,TE,3,74,237,WAS,0,1
1,10,K.Cousins,27,4,75,202,8,26,104.6,1350,WR,8,70,178,WAS,0,1
3,7,K.Cousins,27,4,75,202,8,26,104.6,213,WR,8,72,216,WAS,0,0
2,8,A.Rodgers,47,11,74,225,8,58,93.3,79,TE,2,76,257,GB,0,0
3,8,A.Rodgers,47,11,74,225,8,58,93.3,83,WR,5,70,192,GB,0,0
3,15,K.Cousins,27,4,75,202,8,26,104.6,216,TE,3,74,237,WAS,0,0
2,9,A.Rodgers,47,11,74,225,8,58,93.3,1279,WR,2,73,195,GB,0,0
3,9,A.Rodgers,47,11,74,225,8,58,93.3,82,WR,9,73,208,GB,0,0
2,3,K.Cousins,27,4,75,202,8,26,104.6,215,WR,2,72,193,WAS,0,0
3,3,K.Cousins,27,4,75,202,8,26,104.6,216,TE,3,74,237,WAS,0,1
1,10,K.Cousins,27,4,75,202,8,26,104.6,213,WR,8,72,216,WAS,0,1
2,14,K.Cousins,27,4,75,202,8,26,104.6,212,RB,2,68,193,WAS,0,1
3,10,K.Cousins,27,4,75,202,8,26,104.6,216,TE,3,74,237,WAS,0,1
2,11,A.Rodgers,47,11,74,225,8,58,93.3,82,WR,9,73,208,GB,0,1
3,4,A.Rodgers,47,11,74,225,8,58,93.3,1106,TE,6,76,252,GB,0,0
1,10,A.Rodgers,47,11,74,225,8,58,93.3,82,WR,9,73,208,GB,0,1
1,10,A.Rodgers,47,11,74,225,8,58,93.3,84,WR,2,73,215,GB,0,1
1,10,A.Rodgers,47,11,74,225,8,58,93.3,80,RB,6,74,218,GB,0,1
1,10,A.Rodgers,47,11,74,225,8,58,93.3,83,WR,5,70,192,GB,0,0
2,10,A.Rodgers,47,11,74,225,8,58,93.3,83,WR,5,70,192,GB,0,1
2,8,K.Cousins,27,4,75,202,8,26,104.6,216,TE,3,74,237,WAS,0,1
3,6,K.Cousins,27,4,75,202,8,26,104.6,213,WR,8,72,216,WAS,0,1
1,10,K.Cousins,27,4,75,202,8,26,104.6,1350,WR,8,70,178,WAS,0,0
2,10,A.Rodgers,47,11,74,225,8,58,93.3,83,WR,5,70,192,GB,0,1
1,10,A.Rodgers,47,11,74,225,8,58,93.3,82,WR,9,73,208,GB,0,1
1,10,A.Rodgers,47,11,74,225,8,58,93.3,83,WR,5,70,192,GB,0,0
2,10,A.Rodgers,47,11,74,225,8,58,93.3,81,RB,3,71,234,GB,0,1
3,2,A.Rodgers,47,11,74,225,8,58,93.3,82,WR,9,73,208,GB,0,0
2,7,K.Cousins,27,4,75,202,8,26,104.6,210,WR,0,68,185,WAS,0,1
3,2,K.Cousins,27,4,75,202,8,26,104.6,210,WR,0,68,185,WAS,0,0
1,10,A.Rodgers,47,11,74,225,8,58,93.3,82,WR,9,73,208,GB,0,1
2,5,A.Rodgers,47,11,74,225,8,58,93.3,80,RB,6,74,218,GB,0,1
1,10,A.Rodgers,47,11,74,225,8,58,93.3,79,TE,2,76,257,GB,0,1
2,4,A.Rodgers,47,11,74,225,8,58,93.3,79,TE,2,76,257,GB,0,1
1,10,A.Rodgers,47,11,74,225,8,58,93.3,79,TE,2,76,257,GB,0,0
2,10,A.Rodgers,47,11,74,225,8,58,93.3,82,WR,9,73,208,GB,0,1
3,2,A.Rodgers,47,11,74,225,8,58,93.3,84,WR,2,73,215,GB,0,1
1,10,A.Rodgers,47,11,74,225,8,58,93.3,83,WR,5,70,192,GB,0,0
2,10,A.Rodgers,47,11,74,225,8,58,93.3,84,WR,2,73,215,GB,0,1
1,10,K.Cousins,27,4,75,202,8,26,104.6,213,WR,8,72,216,WAS,0,1
2,14,K.Cousins,27,4,75,202,8,26,104.6,212,RB,2,68,193,WAS,0,1
3,7,K.Cousins,27,4,75,202,8,26,104.6,210,WR,0,68,185,WAS,0,1
4,1,K.Cousins,27,4,75,202,8,26,104.6,216,TE,3,74,237,WAS,0,1
1,7,K.Cousins,27,4,75,202,8,26,104.6,213,WR,8,72,216,WAS,0,0
2,7,K.Cousins,27,4,75,202,8,26,104.6,210,WR,0,68,185,WAS,0,1
1,10,A.Rodgers,47,11,74,225,8,58,93.3,84,WR,2,73,215,GB,0,1
1,10,A.Rodgers,47,11,74,225,8,58,93.3,82,WR,9,73,208,GB,0,0
2,10,A.Rodgers,47,11,74,225,8,58,93.3,1279,WR,2,73,195,GB,0,1
1,10,A.Rodgers,47,11,74,225,8,58,93.3,83,WR,5,70,192,GB,0,0
1,10,K.Cousins,27,4,75,202,8,26,104.6,216,TE,3,74,237,WAS,0,0
3,8,K.Cousins,27,4,75,202,8,26,104.6,215,WR,2,72,193,WAS,0,0
3,3,A.Rodgers,47,11,74,225,8,58,93.3,82,WR,9,73,208,GB,0,1
2,13,A.Rodgers,47,11,74,225,8,58,93.3,83,WR,5,70,192,GB,0,1
2,8,K.Cousins,27,4,75,202,8,26,104.6,212,RB,2,68,193,WAS,0,1
1,10,K.Cousins,27,4,75,202,8,26,104.6,216,TE,3,74,237,WAS,0,1
2,19,K.Cousins,27,4,75,202,8,26,104.6,1350,WR,8,70,178,WAS,0,0
3,19,K.Cousins,27,4,75,202,8,26,104.6,216,TE,3,74,237,WAS,0,0
2,12,A.Rodgers,47,11,74,225,8,58,93.3,82,WR,9,73,208,GB,0,0
3,6,A.Rodgers,47,11,74,225,8,58,93.3,1279,WR,2,73,195,GB,0,1
1,10,K.Cousins,27,4,75,202,8,26,104.6,213,WR,8,72,216,WAS,0,1
2,5,K.Cousins,27,4,75,202,8,26,104.6,212,RB,2,68,193,WAS,0,1
1,10,K.Cousins,27,4,75,202,8,26,104.6,216,TE,3,74,237,WAS,0,0
2,10,K.Cousins,27,4,75,202,8,26,104.6,216,TE,3,74,237,WAS,0,0
3,10,K.Cousins,27,4,75,202,8,26,104.6,213,WR,8,72,216,WAS,0,0
1,10,K.Cousins,27,4,75,202,8,26,104.6,212,RB,2,68,193,WAS,0,1
1,10,K.Cousins,27,4,75,202,8,26,104.6,212,RB,2,68,193,WAS,0,1
2,3,K.Cousins,27,4,75,202,8,26,104.6,213,WR,8,72,216,WAS,0,1
1,10,K.Cousins,27,4,75,202,8,26,104.6,216,TE,3,74,237,WAS,0,0
2,10,K.Cousins,27,4,75,202,8,26,104.6,212,RB,2,68,193,WAS,0,1
3,9,K.Cousins,27,4,75,202,8,26,104.6,216,TE,3,74,237,WAS,0,1
1,10,K.Cousins,27,4,75,202,8,26,104.6,1350,WR,8,70,178,WAS,0,0
2,10,K.Cousins,27,4,75,202,8,26,104.6,216,TE,3,74,237,WAS,0,1
1,10,K.Cousins,27,4,75,202,8,26,104.6,920,WR,1,72,181,WAS,0,1
2,8,K.Cousins,27,4,75,202,8,26,104.6,216,TE,3,74,237,WAS,0,0
4,17,K.Cousins,27,4,75,202,8,26,104.6,212,RB,2,68,193,WAS,0,1
